timeStamp,Temperature
0,16.6
1,17.09
2,16.6
3,17.09
4,16.6
5,16.6
6,17.09
7,16.11
8,16.6
9,17.09
10,17.58
11,18.07
12,18.55
13,18.55
14,18.07
15,18.07
16,17.58
17,17.58
18,17.58
19,17.58
20,17.58
21,17.09
22,17.09
23,17.58
24,17.09
25,17.09
26,17.09
27,17.09
28,16.6
29,16.6
30,16.6
31,16.6
32,16.6
33,16.6
34,16.6
35,16.6
36,16.6
37,16.6
38,16.6
39,16.6
