timeStamp,Temperature
0,10.25
1,10.25
2,10.25
3,10.25
4,9.77
5,10.25
6,10.25
7,10.25
8,10.74
9,10.74
10,10.74
11,10.74
12,10.74
13,11.23
14,10.74
15,11.23
16,11.23
17,11.23
18,11.23
19,11.23
20,11.23
21,11.72
22,11.72
23,11.72
24,11.72
25,11.72
26,11.72
27,11.72
28,11.72
